N,time,rrmse,success-prob
0,0.0,-1.3993458758440127,0.326
1,0.058784426699810974,-2.3346015505340594,0.545
2,0.11756885339962195,-3.1058540350625927,0.726
3,0.1763532800994329,-3.618747608756221,0.847
4,0.2351377067992439,-3.912491267143881,0.917
5,0.2939221334990549,-4.0646728488410755,0.953
6,0.3527065601988658,-4.171824987033901,0.979
7,0.4114909868986768,-4.2088073178636165,0.988
8,0.4702754135984878,-4.241952970077853,0.996
9,0.5290598402982988,-4.254172466055797,0.999
10,0.5878442669981098,-4.258463905452568,1.0
11,0.6466286936979206,-4.258545653320736,1.0
12,0.7054131203977316,-4.25874630750819,1.0
13,0.7641975470975427,-4.259014886381272,1.0
14,0.8229819737973536,-4.259241438729285,1.0
15,0.8817664004971646,-4.259523375956922,1.0
16,0.9405508271969756,-4.259808848449518,1.0
17,0.9993352538967866,-4.2601786489845255,1.0
18,1.0581196805965976,-4.260553672762662,1.0
19,1.1169041072964085,-4.260762863874625,1.0
20,1.1756885339962195,-4.261048262346963,1.0
21,1.2344729606960305,-4.261488945454474,1.0
22,1.2932573873958413,-4.262053984089419,1.0
23,1.3520418140956525,-4.262519597071651,1.0
24,1.4108262407954633,-4.262835428153601,1.0
25,1.4696106674952742,-4.263150841515419,1.0
26,1.5283950941950855,-4.263439220444368,1.0
27,1.5871795208948962,-4.263896730176429,1.0
28,1.6459639475947072,-4.2642845158063745,1.0
29,1.7047483742945182,-4.264653970442741,1.0
30,1.7635328009943292,-4.265116152174681,1.0
31,1.8223172276941402,-4.265538948821404,1.0
32,1.8811016543939512,-4.266116870179717,1.0
33,1.939886081093762,-4.26653583690539,1.0
34,1.9986705077935731,-4.266842094197846,1.0
35,2.057454934493384,-4.2673260227403125,1.0
36,2.116239361193195,-4.267795822977586,1.0
37,2.175023787893006,-4.268349216333606,1.0
38,2.233808214592817,-4.268944379609101,1.0
39,2.292592641292628,-4.26943181688873,1.0
40,2.351377067992439,-4.269890681530597,1.0
41,2.41016149469225,-4.27037765036774,1.0
42,2.468945921392061,-4.27068568140539,1.0
43,2.527730348091872,-4.271126820356689,1.0
44,2.5865147747916826,-4.2715624970333295,1.0
45,2.645299201491494,-4.2720038599198435,1.0
46,2.704083628191305,-4.272480949761819,1.0
47,2.7628680548911158,-4.272941137269718,1.0
48,2.8216524815909265,-4.273315004750113,1.0
49,2.8804369082907377,-4.273794906978761,1.0
50,2.9392213349905485,-4.274174850722936,1.0
51,2.9980057616903597,-4.2745415954088095,1.0
52,3.056790188390171,-4.274994384902928,1.0
53,3.1155746150899817,-4.2754088286887875,1.0
54,3.1743590417897924,-4.275799248886581,1.0
55,3.233143468489603,-4.276080423627791,1.0
56,3.2919278951894144,-4.276485404910385,1.0
57,3.3507123218892256,-4.276771686720254,1.0
58,3.4094967485890364,-4.277138348522927,1.0
59,3.468281175288847,-4.277381256051641,1.0
60,3.5270656019886584,-4.277644910664194,1.0
61,3.585850028688469,-4.277867487112481,1.0
62,3.6446344553882803,-4.278143668976134,1.0
63,3.7034188820880916,-4.278333413427728,1.0
64,3.7622033087879023,-4.278620762507809,1.0
65,3.820987735487713,-4.278907666435331,1.0
66,3.879772162187524,-4.279163022743807,1.0
67,3.9385565888873355,-4.279345819682339,1.0
68,3.9973410155871463,-4.279576067666605,1.0
69,4.056125442286957,-4.27975155422519,1.0
70,4.114909868986768,-4.279886422728975,1.0
71,4.173694295686579,-4.280033108887897,1.0
72,4.23247872238639,-4.280133619966867,1.0
73,4.291263149086201,-4.280192299787015,1.0
74,4.350047575786012,-4.28035250834751,1.0
75,4.408832002485823,-4.280623992322504,1.0
76,4.467616429185634,-4.280670506739572,1.0
77,4.526400855885445,-4.2807502778257565,1.0
78,4.585185282585256,-4.280893115800877,1.0
79,4.643969709285067,-4.281008101426772,1.0
80,4.702754135984878,-4.281132092389229,1.0
81,4.761538562684689,-4.281290026205259,1.0
82,4.8203229893845,-4.281398016867614,1.0
83,4.87910741608431,-4.281457975378197,1.0
84,4.937891842784122,-4.281559278579156,1.0
85,4.996676269483932,-4.281679310999326,1.0
86,5.055460696183744,-4.281766552454049,1.0
