t,x,y,z,dx,dy,dz
0.0,-2.714972346459266,9.98428146590863,-1.6214179518785605,118.73853340067369,-40.763784273013925,-16.06015549216395
0.01,-1.5275870124525293,9.57664362317849,-1.7820195068002,111.55781245533277,-32.47091442348857,-10.320397389746748
0.02,-0.4838160973526108,9.334863177438859,-1.8278258996734955,98.62385563895268,-16.8099486759421,0.07033606780578738
0.03,0.4448901003265245,9.240444649659649,-1.7806127854440843,88.32349669170918,-2.9413060279280145,8.685001689884675
0.04,1.282653836481573,9.276037056880298,-1.654125865875802,80.24175063127797,9.270337865997202,16.217198663134635
0.05,2.0497251129520837,9.425851406979593,-1.4562688121813916,74.01729329798233,19.97944015635289,23.172680072588047
0.06,2.7629997024412196,9.675625860007356,-1.190672264424041,69.33732720304621,29.324904761532444,29.922708269205483
0.07,3.436471657013008,10.012349502210242,-0.8578146467972819,65.9305050655592,37.41182477961402,36.74183697378644
0.08,4.081609803752404,10.423862355599637,-0.45583552494831225,63.55927336245195,44.30235084896754,43.83311273184676
0.09,4.707657124262047,10.898396519189593,0.018847607839653318,62.01234461390377,50.011656758822554,51.34341340087799
0.1,5.321856696030479,11.424095490776088,0.5710327430692476,61.097661287980955,54.50698550697845,59.37108355631505
0.11,5.929610350021666,11.988536229329162,1.2062692789659544,60.63605303866555,57.709015273584804,67.96751225694358
0.12,6.53457775680379,12.578275796247784,1.930382988208119,60.45573932539616,59.49559533586708,77.13395709039354
0.13,7.138725136529589,13.178448136046503,2.748948420773825,60.3878473435147,59.70843483469732,86.81479805538306
0.14,7.742334703674084,13.77244449294173,3.6666789493157803,60.26317166629291,58.16364881940039,96.88851941022803
0.15,8.343988569855448,14.341721112434511,4.6867188089783856,59.91047334690052,54.667167011449266,107.15805670962443
0.16,8.940544170612094,14.865787833170716,5.809840083508269,59.156677305846635,49.03582719810675,117.34266452487402
0.17,9.52712211597238,15.322437656396646,7.033572099475866,57.82934710057983,41.12441323673108,127.07405539557882
0.18,10.097131112623691,15.688276097905337,8.351321191419846,55.761759171406574,30.857873566975602,135.90004991366035
0.19,10.642357299400512,15.939595127736158,9.751573097749073,52.800726283554496,18.266457252524226,143.29909090756718
0.2,11.153145638294781,16.053605242955822,11.21730300957119,48.817003028129854,3.519667149548411,148.70838163399753
0.21,11.61869735996311,16.009988470727126,12.725740730429024,43.71764172672812,-13.046890119607113,151.566807169797
0.22,12.027498472829343,15.79266744056368,14.24863915296713,37.459097642910244,-30.918885945914187,151.37106858677285
0.23,12.367879312821314,15.391610751808843,15.753162102164481,30.059311602040673,-49.41186867573091,147.73984440467717
0.24,12.628684704870157,14.804430067049061,17.203436041060673,21.606587915413833,-67.70592670476327,140.4770332131383
0.25,12.80001107112959,14.037492217713577,18.562702766427247,12.263024825509916,-84.90693807113372,129.62241852021137
0.26,12.873945201380355,13.106291305626387,19.7958844114649,2.2606966334937972,-100.12901340162657,115.4777636701116
0.27,12.845225003799467,12.034911949681046,20.87225803982948,-8.11023004404099,-112.58670279029896,98.59930138106083
0.28,12.711740600499535,10.854557249820408,21.767870439086117,-18.520874039550694,-121.68138295448729,79.75372639809635
0.29,12.474807523008453,9.6012842905913,22.467332567791406,-28.628453263798193,-127.06574821378842,59.842739537986844
0.3,12.139171535223571,8.31324228554464,22.964725229845854,-38.10329539389014,-128.67418849270544,39.808567044828
0.31,11.71274161513065,7.027800520737191,23.263503908687966,-46.654286625222596,-126.71415917129622,20.53725340241499
0.32,11.20608580271912,5.778959102118715,23.375470297894154,-54.04930591230048,-121.6221935268566,2.776442200290319
0.33,10.63175549688464,4.595356650200059,23.319032752693772,-60.12823253016028,-113.99530550303112,-12.920007273766565
0.34,10.003521152115914,3.4990529920580924,23.117070152418822,-64.80757588483321,-104.51218732776728,-26.215192330963788
0.35000000000000003,9.335603979187976,2.5051129036447133,22.794728906074496,-68.07725047059306,-93.85824253900742,-36.98195927851504
0.36,8.641976142704053,1.621888141277944,22.37743096684852,-69.991153007564,-82.6649509266307,-45.27253864405534
0.37,7.935780919036696,0.8518138851120993,21.88927813319339,-70.6538000328389,-71.46900297235497,-51.27478669170724
0.38,7.228900142047275,0.19250808183084459,21.351935233014377,-70.20534377140835,-60.69176383426588,-55.26458110736563
0.39,6.531674043608529,-0.36202139157321817,20.783986511046077,-68.80693184352768,-50.63607457365682,-57.56181361490871
0.4,5.852761505176721,-0.8202134096422917,20.200698960716203,-66.62780266018213,-41.495572362738244,-58.4945351913122
0.41000000000000003,5.199117990404886,-1.191932838827983,19.614095807219833,-63.83489262392805,-33.3714127182193,-58.37306080306064
0.42,4.57606365269816,-1.4876416640066776,19.03323774465499,-60.5851994859756,-26.291996802070905,-57.4737647795903
0.43,3.987414000685374,-1.7177727748694012,18.464620511628027,-57.02076032823662,-20.232497508951685,-56.031052616693344
0.44,3.4356484461334276,-1.8922916141857113,17.912616692321123,-53.26587171562284,-15.13221537264755,-54.235481609823744
0.45,2.9220965663729173,-2.020417082322352,17.379910879431552,-49.42607990436418,-10.908831078089287,-52.236006788684364
0.46,2.447126848046144,-2.110468235747497,16.867896556547436,-45.588463329860794,-7.469361369774408,-50.14462541339881
0.47000000000000003,2.0103272997757013,-2.1698043097178403,16.377018371163576,-41.822780636738834,-4.718077206410509,-48.0421042433659
0.48,1.6106712353113672,-2.2048297798757073,15.907054471680118,-38.18313505218449,-2.56186539403942,-45.9838829077305
0.49,1.2466645987320115,-2.2210416175986287,15.457340713008966,-34.70988901601295,-0.9135792159072453,-44.0055935460391
0.5,0.9164734549911082,-2.223101364193852,15.026942600759336,-31.431639299943253,0.3061063295161981,-42.127900596900055
0.51,0.6180318127331464,-2.2149194910083048,14.614782701070965,-28.367126516751235,1.167895067423541,-40.36054774433717
0.52,0.34913092465608353,-2.1997434628453814,14.219731645872592,-25.527002403833727,1.733776760469663,-38.70561514452868
0.53,0.10749176465647188,-2.1802439557989115,13.840670398180391,-22.915414523586456,2.0573782247084837,-37.1600558162048
0.54,-0.10917736581564562,-2.1585958983512117,13.476530529548496,-20.531393145762173,2.184570017652354,-35.71761092662457
0.55,-0.30313609825877164,-2.1365525554458644,13.1263181796479,-18.370041486013932,2.1541992414179534,-34.3702121753588
0.56,-0.4765781955359243,-2.1155119135228526,12.78912628604132,-16.423540425191835,1.9988634171904884,-33.10897480308012
0.5700000000000001,-0.6316069067626083,-2.0965752871020547,12.464138683586297,-14.681984232248423,1.74567238705845,-31.924873302642354
0.58,-0.7702178801808928,-2.0805984657816836,12.150628819988473,-13.134066148810636,1.4169673704711894,-30.80917777999197
0.59,-0.894288229738821,-2.068235939692631,11.847955127986458,-11.767633071376448,1.0309811018796466,-29.753714559175748
