t,x,y,z,dx,dy,dz
0.0,4.338954628600332,16.73968414692532,13.519973299696368,117.7281033021317,43.27322728416085,56.0862206737184
0.01,5.516235661621649,17.17241641976693,14.080835506433552,114.49023832754217,47.986416685752786,66.58096996119838
0.02,6.628759395151175,17.699412480640376,14.851592698920335,108.66967073178549,55.54482362656383,87.66437257079697
0.03,7.689629076257359,18.283312892298206,15.834122957849491,103.91425409707549,59.16162724579426,108.94619245288482
0.04,8.707044477092685,18.88264502555626,17.03051654797803,99.73682488858198,58.41771837092278,130.30567768716992
0.05,9.684365574028998,19.45166725971666,18.44023651159289,95.6566385973936,52.903643739170825,151.33440408486098
0.06,10.620177249040557,19.940717900339678,20.05720462967525,91.20254346687967,42.28499270399286,171.33327476920232
0.07,11.508416443366592,20.29736711379652,21.866902006976936,85.92328821250028,26.39476799148248,189.32650418145673
0.08,12.338643013290563,20.468613260169327,23.843734713304386,79.40643544521811,5.343575135287537,204.10889794905918
0.09,13.096545152270954,20.40423861650227,25.94907996595812,71.30599134472017,-20.369662569225788,214.34082472938397
0.1,13.764762840184966,20.06122000878481,28.130551207892065,61.37680554317475,-49.772728612089345,218.69776790190497
0.11,14.324081263134449,19.408784044260482,30.32303532399622,49.51120305462258,-81.3930130918349,216.06719819252174
0.12,14.754986901277418,18.433359746948113,32.4518951717425,35.77076057635784,-113.31810652104011,205.7664084765177
0.13,15.039496474661606,17.14242191383968,34.43836349352657,20.404605398211473,-143.3593453261712,187.7364756505127
0.14,15.163079009241647,15.56617284042469,36.206624684752754,3.846180501905927,-169.30696933053628,162.65835018553716
0.15,15.116420084699724,13.756282527228954,37.691530497237316,-13.316260628955678,-189.2338153425336,131.94540291728032
0.16,14.896753796662534,11.781496533574018,38.84553274309836,-30.394438572134597,-201.78021669033282,97.59483950872045
0.17,14.508531313257032,9.720678193422298,39.643427287411726,-46.672546362471046,-206.34882880881315,61.9207551036407
0.18,13.963302869413113,7.6545199573977545,40.083947845171174,-61.48478526599161,-203.15975083822576,27.228627828880292
0.19,13.2788356079372,5.657483176657783,40.18799984398933,-74.28363638038284,-193.15666576721011,-4.491456141714423
0.2,12.477630141805456,3.7913866420535522,39.994118722336886,-84.68711172158602,-177.7973042618349,-31.785159936567098
0.21,11.58509337350548,2.1015370914210845,39.55229664525799,-92.49891358201383,-158.78918911947886,-53.83144301005487
0.22,10.62765187016518,0.6156028596639747,38.91748986213579,-97.70206573820985,-137.83561280857583,-70.41914729470697
0.23,9.631052058741282,-0.6551751647504321,38.14391369936385,-100.43192410641852,-116.44011322459097,-81.83432699658297
0.24,8.619013388036809,-1.713199404827845,37.28080332220413,-100.93719784447006,-95.79119639692578,-88.70307746150132
0.25,7.612308101851881,-2.570999092688948,36.36985215013382,-99.53761542035812,-76.72438924931686,-91.83140203179327
0.26,6.628261079629646,-3.247687189814182,35.44417528156826,-96.5849665410293,-59.74305754482874,-92.07059547392085
0.27,5.680608771031295,-3.765860243585523,34.52844024065541,-92.4315646940137,-45.07413628246519,-90.2212505720243
