t,x,y,z,dx,dy,dz
0.0,10.23628374163969,9.712873073062116,6.561718735135594,4.986936187743041,204.36074713264532,91.3953424114542
0.01,10.28615310351712,11.75648054438857,7.475672159250136,14.23794332380659,199.62183255467102,101.20238522890278
0.02,10.521042608115822,13.705309724155537,8.58576643971365,31.435299576204567,190.57949145936402,121.61734332050251
0.03,10.914859095041212,15.56807037357585,9.908019025660186,46.154074203986625,181.68010664421902,143.86349724515117
0.04,11.444124092195555,17.338911857039918,11.463036384616673,58.57198093052336,171.4273311425833,168.19454742662262
0.05,12.08629871365168,18.996616996427516,13.271909974192639,68.70413019989927,158.26320384929798,194.43270877012387
0.06,12.81820669619354,20.504175934025877,15.35169056001915,76.41526829468397,140.63038609458758,221.9133335556565
0.07,13.614604079545359,21.809224718319268,17.71017664530577,81.43942774213268,117.09225730696903,249.41870670207837
0.08,14.446995251036194,22.846021080165258,20.340064694060718,83.4125070222318,86.52368671994886,275.1381826372215
0.09,15.282854219989995,23.539698452718245,23.2129402980502,81.9232381613511,48.36797782262945,296.7026102711026
0.1,16.085460014263216,23.813380636617847,26.27411689948277,76.58575909380873,2.926913341048376,311.3445849330656
0.11,16.81456940186617,23.598236719539212,29.43983199671151,67.1318111489068,-48.38579670355543,316.22178800822593
0.12,17.428096237241352,22.84566470254674,32.59855265964729,53.51248233839119,-102.92917794322437,308.8992943313542
0.13,17.884819048633993,21.539653160674725,35.617817883338596,35.99016970658688,-156.96407742562997,287.91937942445213
0.14,18.14789963137309,19.70638315403414,38.35694024813633,15.194860051286518,-206.08849033368432,253.31461216320932
0.15,18.188716249659723,17.417883354001038,40.68411012660278,-7.880215736982521,-245.94314993356025,206.88145668092375
0.16,17.99029531663344,14.787520155362934,42.49456938175481,-31.95684183991414,-273.0310152723235,152.06718313885332
0.17,17.54957941286144,11.957263048554568,43.72545378937985,-55.61659856767882,-285.4124255376702,93.44099916667119
0.18,16.877963345279863,9.07927164460953,44.36338936508823,-77.48259070186627,-283.0516551773772,35.87692655070889
0.19,15.999927598824115,6.296229945007024,44.442992320394026,-96.39506366656629,-267.70911383758295,-16.30877229266332
0.2,14.950062071948537,3.7250893678578714,44.037213919234965,-111.53992798762013,-242.44069109962933,-60.0130728585075
0.21,13.769129039071712,1.4474161230144371,43.242730863223876,-122.5058445605926,-210.89534449360013,-93.64010123738282
0.22,12.499945180736685,-0.4928175220141315,42.16441189448731,-129.26848424257375,-176.6354132401095,-117.02523345417006
0.23,11.183759354220237,-2.0852921417877535,40.902226194140475,-132.11975550434224,-142.64431097186701,-131.09910673153954
