t,x,y,z
0.0,10.23628374163969,9.712873073062116,6.561718735135594
0.01,10.28615310351712,11.75648054438857,7.475672159250136
0.02,10.521042608115822,13.705309724155537,8.58576643971365
0.03,10.914859095041212,15.56807037357585,9.908019025660186
0.04,11.444124092195555,17.338911857039918,11.463036384616673
0.05,12.08629871365168,18.996616996427516,13.271909974192639
0.06,12.81820669619354,20.504175934025877,15.35169056001915
0.07,13.614604079545359,21.809224718319268,17.71017664530577
0.08,14.446995251036194,22.846021080165258,20.340064694060718
0.09,15.282854219989995,23.539698452718245,23.2129402980502
0.1,16.085460014263216,23.813380636617847,26.27411689948277
0.11,16.81456940186617,23.598236719539212,29.43983199671151
0.12,17.428096237241352,22.84566470254674,32.59855265964729
0.13,17.884819048633993,21.539653160674725,35.617817883338596
0.14,18.14789963137309,19.70638315403414,38.35694024813633
0.15,18.188716249659723,17.417883354001038,40.68411012660278
0.16,17.99029531663344,14.787520155362934,42.49456938175481
0.17,17.54957941286144,11.957263048554568,43.72545378937985
0.18,16.877963345279863,9.07927164460953,44.36338936508823
0.19,15.999927598824115,6.296229945007024,44.442992320394026
0.2,14.950062071948537,3.7250893678578714,44.037213919234965
0.21,13.769129039071712,1.4474161230144371,43.242730863223876
0.22,12.499945180736685,-0.4928175220141315,42.16441189448731
0.23,11.183759354220237,-2.0852921417877535,40.902226194140475
0.24,9.85755007064984,-3.3457037414514716,39.54242975985652
0.25,8.55238158499624,-4.30695895483341,38.15328625105587
0.26,7.292731069533531,-5.011088231242843,36.78449596052947
0.27,6.096570360242848,-5.502889930996459,35.469062028266016
0.28,4.975947925559355,-5.8255725820015485,34.22637119828163
0.29,3.937840618267934,-6.018190187488559,33.06556773128975
0.3,2.9850981613114276,-6.114455963000835,31.988654550172278
0.31,2.1173620304866745,-6.142492329002706,30.993053200415368
0.32,1.3318909334561075,-6.125142377472917,30.07355666898791
0.33,0.6242625002998299,-6.080566604683514,29.223723415229877
0.34,-0.011054680088550511,-6.022942463313759,28.436810955496206
0.35000000000000003,-0.5802503843754964,-5.963158357078089,27.706357770633637
0.36,-1.0898283023986028,-5.909445654086425,27.026512277212145
0.37,-1.5463504741044776,-5.867925420803206,26.39218950821367
0.38,-1.9562537353338514,-5.843065812635848,25.79911693350067
0.39,-2.325723050549024,-5.8380560035108005,25.24381380139831
0.4,-2.6606088480101544,-5.855106766656038,24.72353463451381
0.41000000000000003,-2.9663777276943013,-5.8956888141853465,24.236197089592636
0.42,-3.2480879578995134,-5.960719352689204,23.780306837861392
0.43,-3.5103829261260615,-6.050705960650443,23.35488684679523
0.44,-3.7574971527001724,-6.165855360067742,22.959414879919706
0.45,-3.993270637558633,-6.306153196205873,22.593770700169767
0.46,-4.221168231535017,-6.4714196625366,22.25819298820476
0.47000000000000003,-4.44430144534152,-6.661344740275085,21.95324508625991
0.48,-4.665450670876515,-6.8755059544499035,21.67978814302752
0.49,-4.8870862237016555,-7.113370860087102,21.438959918130323
0.5,-5.111386950808581,-7.374285941681583,21.232157302407224
0.51,-5.340255407645313,-7.657453222380487,21.061020453558477
0.52,-5.575328813401635,-7.961895630423721,20.927416291448782
0.53,-5.817985162163902,-8.286412063113316,20.833418919805798
0.54,-6.06934401722695,-8.629523135329912,20.781284334589355
0.55,-6.330261663955997,-8.989408820032464,20.773416553860923
0.56,-6.601320460951954,-9.36383960655851,20.81232208692513
0.5700000000000001,-6.882812428398583,-9.75010344367294,20.90054949883007
0.58,-7.17471736524122,-10.144931617088082,21.04061078925475
0.59,-7.476676111499474,-10.544427839284559,21.234881485918876
0.6,-7.787959984163157,-10.944006178615707,21.48547686942568
0.61,-8.1074379245826,-11.338344956409165,21.79410273547032
0.62,-8.433543501529005,-11.721365264174176,22.161880704394903
0.63,-8.764244600506519,-12.08624408680442,22.589150433260873
0.64,-9.097019356857214,-12.42547285887668,23.07525424403314
0.65,-9.428842588643521,-12.730972237590734,23.618313621207676
0.66,-9.756187552104773,-12.994272494112964,24.215011556901054
0.67,-10.075048140612859,-13.206765753329426,24.86039941142333
0.68,-10.380986514693838,-13.360031006496818,25.54775113122379
0.6900000000000001,-10.669210416890971,-13.446225291163906,26.26849039128237
0.7000000000000001,-10.934682948083546,-13.458525004443862,27.01221640776357
0.71,-11.172265289638725,-13.391590871312399,27.7668507305583
0.72,-11.376889796408031,-13.242020116611101,28.518919516784692
0.73,-11.543757270042432,-13.008741872454406,29.253973506889892
0.74,-11.668548442152462,-12.69330895764233,29.95713203692743
0.75,-11.747636301851934,-12.300042730016072,30.613719884969928
0.76,-11.778283523611423,-11.835998639291082,31.20994946967896
0.77,-11.758808479479814,-11.310737846146624,31.73358923420263
0.78,-11.688704555486568,-10.735912606325105,32.17455493672879
0.79,-11.568700815220565,-10.124696424862352,32.52536577288649
0.8,-11.400757152659937,-9.491109988927427,32.78142162323426
0.81,-11.187993272891541,-8.849306716888293,32.94107903822597
0.8200000000000001,-10.934557214014946,-8.212884985690756,33.005528018677374
0.8300000000000001,-10.645444711091105,-7.5942873772404695,32.978494737157234
0.84,-10.326284702815995,-7.004332399812125,32.86581307686797
0.85,-9.983108220192161,-6.451904420868633,32.674917681212534
0.86,-9.62211769875856,-5.943806908178768,32.41431245579384
0.87,-9.249471714062498,-5.484766024688385,32.09306228157219
0.88,-8.871096801613115,-5.077558537939411,31.72034444002476
0.89,-8.49253404145362,-4.723230851135911,31.30508272607715
0.9,-8.118824082593637,-4.421374418827512,30.85567398857717
0.91,-7.754430736775435,-4.170425672423416,30.379805736545425
0.92,-7.403200484095107,-3.967964253631807,29.884355453746476
0.93,-7.068353322837769,-3.8109902725028344,29.37535755346223
0.9400000000000001,-6.752499333613485,-3.6961682120535557,28.858022090872893
0.9500000000000001,-6.4576749875716075,-3.6200311554532445,28.33678973783048
0.96,-6.185393436732569,-3.579143786830668,27.815409340713813
0.97,-5.936703600340203,-3.5702260115607074,27.29702692937885
0.98,-5.712253642547836,-3.5902411712792004,26.784277783254755
0.99,-5.512355294243359,-3.6364539216822194,26.279375725620806
1.0,-5.337046312240774,-3.70646316105183,25.7841960044079
1.01,-5.186149132758881,-3.798215193324424,25.300349846356237
1.02,-5.059324430924786,-3.910001788234025,24.82925004355732
1.03,-4.9561188321481175,-4.040447119864365,24.372167798624854
1.04,-4.876006436535211,-4.1884868334290815,23.930281590313452
1.05,-4.818424124224137,-4.353341777999615,23.504719102506595
1.06,-4.782800821912745,-4.534488289760343,23.096593356455852
1.07,-4.768581044530778,-4.731626334333096,22.707034157153647
1.08,-4.775243096086484,-4.944646322102682,22.337215854280846
1.09,-4.802312333872714,-5.173594993499232,21.988382257714065
1.1,-4.849369882220994,-5.41864042414317,21.661869357214684
1.11,-4.916057135708302,-5.6800359138680125,21.359126286471422
1.12,-5.002076325274342,-5.958082291112822,21.081734746837633
