t,x,y,z
0.0,-2.714972346459266,9.98428146590863,-1.6214179518785605
0.01,-1.5275870124525293,9.57664362317849,-1.7820195068002
0.02,-0.4838160973526108,9.334863177438859,-1.8278258996734955
0.03,0.4448901003265245,9.240444649659649,-1.7806127854440843
0.04,1.282653836481573,9.276037056880298,-1.654125865875802
0.05,2.0497251129520837,9.425851406979593,-1.4562688121813916
0.06,2.7629997024412196,9.675625860007356,-1.190672264424041
0.07,3.436471657013008,10.012349502210242,-0.8578146467972819
0.08,4.081609803752404,10.423862355599637,-0.45583552494831225
0.09,4.707657124262047,10.898396519189593,0.018847607839653318
0.1,5.321856696030479,11.424095490776088,0.5710327430692476
0.11,5.929610350021666,11.988536229329162,1.2062692789659544
0.12,6.53457775680379,12.578275796247784,1.930382988208119
0.13,7.138725136529589,13.178448136046503,2.748948420773825
0.14,7.742334703674084,13.77244449294173,3.6666789493157803
0.15,8.343988569855448,14.341721112434511,4.6867188089783856
0.16,8.940544170612094,14.865787833170716,5.809840083508269
0.17,9.52712211597238,15.322437656396646,7.033572099475866
0.18,10.097131112623691,15.688276097905337,8.351321191419846
0.19,10.642357299400512,15.939595127736158,9.751573097749073
0.2,11.153145638294781,16.053605242955822,11.21730300957119
0.21,11.61869735996311,16.009988470727126,12.725740730429024
0.22,12.027498472829343,15.79266744056368,14.24863915296713
0.23,12.367879312821314,15.391610751808843,15.753162102164481
0.24,12.628684704870157,14.804430067049061,17.203436041060673
0.25,12.80001107112959,14.037492217713577,18.562702766427247
0.26,12.873945201380355,13.106291305626387,19.7958844114649
0.27,12.845225003799467,12.034911949681046,20.87225803982948
0.28,12.711740600499535,10.854557249820408,21.767870439086117
0.29,12.474807523008453,9.6012842905913,22.467332567791406
0.3,12.139171535223571,8.31324228554464,22.964725229845854
0.31,11.71274161513065,7.027800520737191,23.263503908687966
0.32,11.20608580271912,5.778959102118715,23.375470297894154
0.33,10.63175549688464,4.595356650200059,23.319032752693772
0.34,10.003521152115914,3.4990529920580924,23.117070152418822
0.35000000000000003,9.335603979187976,2.5051129036447133,22.794728906074496
0.36,8.641976142704053,1.621888141277944,22.37743096684852
0.37,7.935780919036696,0.8518138851120993,21.88927813319339
0.38,7.228900142047275,0.19250808183084459,21.351935233014377
0.39,6.531674043608529,-0.36202139157321817,20.783986511046077
0.4,5.852761505176721,-0.8202134096422917,20.200698960716203
0.41000000000000003,5.199117990404886,-1.191932838827983,19.614095807219833
0.42,4.57606365269816,-1.4876416640066776,19.03323774465499
0.43,3.987414000685374,-1.7177727748694012,18.464620511628027
0.44,3.4356484461334276,-1.8922916141857113,17.912616692321123
0.45,2.9220965663729173,-2.020417082322352,17.379910879431552
0.46,2.447126848046144,-2.110468235747497,16.867896556547436
0.47000000000000003,2.0103272997757013,-2.1698043097178403,16.377018371163576
0.48,1.6106712353113672,-2.2048297798757073,15.907054471680118
0.49,1.2466645987320115,-2.2210416175986287,15.457340713008966
0.5,0.9164734549911082,-2.223101364193852,15.026942600759336
0.51,0.6180318127331464,-2.2149194910083048,14.614782701070965
0.52,0.34913092465608353,-2.1997434628453814,14.219731645872592
